Institution,CourseName,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,CourseName_enc,Predicted_AvgCutoffRank
Dr. Ambedkar Institute Of Technology  Bangalore,EC Electronics,18357.0,28633.0,22237.0,18809.0,22927.0,21445.0,22908.0,,29303.0,14750.0,,21348.0,15230.0,,19575.0,14320.0,20278.0,19530.0,39285.0,45925.0,50041.0,21186.0,66880.0,62898.0,28374.52380952381,67,28554.77033800185
Reva University  Bangalore,BW B Tech in CS,18493.0,,22185.0,17015.0,20983.0,19599.0,20011.0,,24503.0,13540.0,,17182.0,15470.0,,17380.0,12890.0,18186.0,16507.0,48688.0,64211.0,75764.0,52141.0,63599.0,65962.0,31215.45,23,32317.227624232186
Nitte Meenakshi Institutute of Technology  Bangalore,EC Electronics,18551.0,,27833.0,15903.0,26090.0,18856.0,22096.0,,47362.0,12978.0,,,11897.0,,16744.0,11469.0,19430.0,16640.0,49426.0,80843.0,64304.0,26302.0,,74130.0,31158.555555555555,67,30837.356488018657
Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,IE Info.Science,18881.0,,28672.0,19252.0,26839.0,21005.0,26209.0,,,15973.0,,,15864.0,,19302.0,15197.0,16982.0,18978.0,59343.0,81098.0,88571.0,34068.0,,49858.0,32711.29411764706,78,32784.47086787861
M.S. Ramaiah University of Applied Sciences  Bangalore,CU B Tech in IS,18920.0,,,17097.0,,24519.0,25286.0,,,14926.0,,,16706.0,,,14063.0,24315.0,18475.0,69490.0,,104968.0,87894.0,,99899.0,41273.692307692305,44,34980.462459739596
RNS Institute of Technology  Bangalore,CY CS- CyberSecurity,19017.0,,,17148.0,,23101.0,22425.0,,,14538.0,43290.0,,15572.0,,,14226.0,18209.0,17107.0,40186.0,,95756.0,32593.0,,65061.0,31302.071428571428,48,32558.242205484003
C M R Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,19032.0,64903.0,,19524.0,,26667.0,22665.0,,,17702.0,39473.0,21488.0,18470.0,,,16467.0,26239.0,20702.0,39240.0,,73296.0,22634.0,,,29900.133333333335,64,31091.753968625824
J S S Academy of Technical Education  Bangalore,"CA CS (AI, MachineLearning)",19108.0,,28041.0,20223.0,,24742.0,25455.0,,,16540.0,62500.0,21335.0,16207.0,26727.0,,15535.0,20117.0,20349.0,58825.0,138086.0,90792.0,41302.0,,,37993.17647058824,27,38053.06958812195
B N M Institute of Technology  Bangalore,EC Electronics,19143.0,,27501.0,17673.0,,23862.0,22629.0,,58365.0,11213.0,,,11072.0,24292.0,,10587.0,22366.0,19591.0,61155.0,91492.0,80390.0,35008.0,,108033.0,37904.23529411765,67,33920.12397536117
S K S J T Institute of Engineering.  Bangalore,EC Electronics,19231.0,,33229.0,20830.0,20991.0,29493.0,25354.0,,,20388.0,,32410.0,20011.0,,26627.0,17740.0,20941.0,20131.0,35893.0,36915.0,39432.0,26342.0,79928.0,36174.0,29582.105263157893,67,29379.239874656
Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,EE Electrical,19233.0,61288.0,,17592.0,56100.0,25059.0,19201.0,,45444.0,16571.0,,21951.0,17509.0,,24571.0,14618.0,24357.0,18613.0,39504.0,55165.0,46157.0,20712.0,,53163.0,31410.947368421053,68,30253.67440595977
The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC Electronics,19271.0,37145.0,23366.0,7794.0,,11678.0,13332.0,75618.0,,5475.0,,,5184.0,,,4775.0,13111.0,9308.0,25919.0,,45245.0,15114.0,28230.0,,21285.3125,67,25064.297217922256
Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,DS Comp. Sc. Engg-Data Sc.,19394.0,,,22444.0,38102.0,29926.0,28951.0,,48148.0,19122.0,,24527.0,19365.0,37545.0,,18743.0,34508.0,21316.0,55544.0,,104802.0,44786.0,,,35451.4375,64,32237.893802373583
KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,CS Computers,19453.0,,28045.0,15492.0,19174.0,18717.0,17035.0,20471.0,25086.0,17568.0,,21104.0,13950.0,,17342.0,13054.0,13565.0,16855.0,44538.0,53238.0,45056.0,24957.0,,64640.0,25467.0,42,27619.524435479274
Global Academy of Technology  Bangalore,CS Computers,19508.0,,33105.0,17600.0,26105.0,21429.0,25986.0,,35921.0,14422.0,,19895.0,15087.0,,20385.0,13980.0,18231.0,19468.0,44765.0,54375.0,55291.0,24935.0,106651.0,60105.0,32362.2,42,30446.556435479284
RNS Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",19535.0,,25085.0,18935.0,25510.0,21916.0,27325.0,,37104.0,14272.0,,,15495.0,,17139.0,13872.0,18732.0,17000.0,62445.0,95046.0,95653.0,70759.0,86495.0,84154.0,40340.63157894737,27,39001.35974386339
M V J College of Engineering  Bangalore,CS Computers,19718.0,,24417.0,19128.0,21357.0,20692.0,23778.0,,26177.0,15468.0,,19124.0,15519.0,25724.0,19733.0,14790.0,19674.0,18686.0,39088.0,48481.0,49154.0,28758.0,,57366.0,26341.6,42,28212.58561038346
"S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",IE Info.Science,19874.0,,,17037.0,23632.0,21724.0,26378.0,,,13745.0,,,13818.0,34122.0,21247.0,13436.0,22328.0,19163.0,56737.0,99818.0,72637.0,30147.0,,35528.0,31845.352941176472,78,31817.185036893698
Sahyadri College of Engg. and Management  Mangalore,IE Info.Science,19953.0,33765.0,22472.0,21709.0,,22150.0,19860.0,36047.0,31216.0,23346.0,34711.0,24129.0,20218.0,42330.0,22344.0,19347.0,19820.0,20255.0,81359.0,,86796.0,30905.0,,,31636.6,78,31797.25441873069
Acharya Institute of Technology  Bangalore,AI ArtificialIntelligence,19995.0,,40614.0,20961.0,27645.0,26566.0,25393.0,,,18210.0,,,21047.0,,23848.0,18001.0,21969.0,23376.0,46020.0,91922.0,70224.0,44612.0,,74670.0,36180.76470588235,2,36192.23534391127
Malnad College of Engineering  Hassan,CS Computers,20028.0,,22513.0,18295.0,25162.0,19049.0,14410.0,,26541.0,12681.0,,,13554.0,,17158.0,12041.0,20036.0,15885.0,39747.0,56048.0,45331.0,21081.0,104364.0,64572.0,29920.842105263157,42,28686.286706286202
M.S. Ramaiah University of Applied Sciences  Bangalore,BH B Tech in AI,20035.0,,,19937.0,,27671.0,15996.0,,39023.0,17301.0,,,12116.0,31687.0,,11885.0,,18706.0,68593.0,145287.0,111955.0,44957.0,,92278.0,45161.8,10,41049.23073658406
C M R Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",20056.0,,23198.0,15976.0,,25720.0,14530.0,,,17082.0,57718.0,21610.0,14721.0,29283.0,30818.0,14348.0,23141.0,18436.0,47052.0,,69091.0,27440.0,77026.0,81795.0,33107.42105263158,0,33944.70849445302
P E S College of Engineering  Mandya,CS Computers,20065.0,,,15578.0,23290.0,17654.0,18179.0,,26278.0,11515.0,,28128.0,12736.0,,15412.0,10584.0,10673.0,14781.0,31679.0,37518.0,33893.0,14107.0,89937.0,24705.0,24037.473684210527,42,26590.748363036757
K.L.S. Gogte Institute of Technology  Belgaum,EC Electronics,20164.0,,22091.0,19420.0,21337.0,22342.0,18698.0,31766.0,27839.0,16216.0,,23506.0,15868.0,,20594.0,15371.0,17232.0,18735.0,49811.0,65398.0,50643.0,35003.0,,85608.0,29882.1,67,29764.06020737349
K L E Institute of Technology  Hubli,CS Computers,20199.0,,24274.0,17189.0,21439.0,21285.0,16702.0,,,17667.0,,,15410.0,,20238.0,13960.0,17005.0,18785.0,46057.0,49297.0,46362.0,23839.0,,33460.0,24892.235294117647,42,26564.60719895004
Sapthagiri NPS College of Engineering  Bangalore,CS Computers,20372.0,122447.0,42913.0,21080.0,30122.0,23479.0,24047.0,126470.0,142810.0,16908.0,84012.0,25471.0,17228.0,25166.0,23038.0,16111.0,21732.0,20620.0,51790.0,256126.0,62315.0,27435.0,,96196.0,56429.913043478264,42,45411.903084219455
C M R Institute of Technology  Bangalore,AI ArtificialIntelligence,20378.0,29425.0,27508.0,16353.0,,23509.0,19510.0,,31837.0,14772.0,,18708.0,14321.0,24289.0,,13077.0,20641.0,18111.0,48716.0,78563.0,74366.0,47415.0,,103560.0,33950.47368421053,2,36575.7312717503
New Horizon College of Engineering  Bangalore,EC Electronics,20473.0,,32580.0,20534.0,38275.0,25141.0,24341.0,74546.0,65214.0,14501.0,40318.0,23065.0,15542.0,25017.0,24093.0,14370.0,23852.0,21948.0,52515.0,90270.0,68505.0,36765.0,49671.0,50157.0,37030.13043478261,67,37788.35264031003
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),EE Electrical,20587.0,51745.0,34616.0,17669.0,29180.0,19081.0,19148.0,50345.0,89610.0,14319.0,29031.0,,15013.0,,18817.0,12903.0,16124.0,18177.0,26928.0,50666.0,31240.0,19414.0,,66517.0,31006.190476190477,68,34518.243608830235
Reva University  Bangalore,CU B Tech in IS,20739.0,,31876.0,20726.0,,21678.0,28024.0,,50626.0,16550.0,,,17249.0,,,16238.0,19342.0,18180.0,68188.0,178345.0,81941.0,79509.0,137470.0,103883.0,53562.58823529412,44,48391.0594847388
RNS Institute of Technology  Bangalore,EC Electronics,20856.0,,55751.0,19428.0,26788.0,22255.0,27693.0,,,13770.0,,21981.0,14031.0,,20874.0,12634.0,26765.0,19546.0,63552.0,68267.0,86152.0,33462.0,,67639.0,34524.666666666664,67,37630.26236280596
M V J College of Engineering  Bangalore,IE Info.Science,20923.0,,,21739.0,33635.0,23467.0,23293.0,,46527.0,18537.0,,22471.0,19807.0,,26144.0,18485.0,22773.0,22060.0,56042.0,89650.0,69606.0,32157.0,,87482.0,36377.666666666664,78,37636.01845879401
Siddaganga Institute of Technology  Tumkur,EE Electrical,21233.0,,49332.0,20113.0,,29807.0,22274.0,119073.0,,18762.0,,24919.0,17491.0,28233.0,,17019.0,27704.0,24674.0,37615.0,117212.0,54431.0,26301.0,,,38599.58823529412,68,38167.70735217196
Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,AI ArtificialIntelligence,21285.0,,,19754.0,,27510.0,21985.0,,,15323.0,32870.0,21968.0,15875.0,27775.0,,14637.0,24508.0,17541.0,48742.0,,87788.0,47117.0,,90016.0,33418.375,2,34125.44303557251
Nitte Meenakshi Institutute of Technology  Bangalore,CB Comp. Sc. andBus Sys.,21301.0,,,16061.0,,27014.0,,,42449.0,14259.0,,,13110.0,22542.0,,12421.0,26176.0,13764.0,62214.0,124740.0,91942.0,46242.0,,97270.0,42100.333333333336,28,42928.05845091079
Reva University  Bangalore,AM B Tech in AM,21519.0,,,22553.0,46781.0,28164.0,21446.0,,,18045.0,,,18400.0,,21959.0,17258.0,26170.0,21583.0,70350.0,86944.0,106799.0,71981.0,139013.0,82078.0,48296.64705882353,3,42675.63584222152
Visvesvaraya Technological University - Regional Center  Mysore,CS Computers,21536.0,61472.0,47212.0,24905.0,44981.0,27862.0,26207.0,,49047.0,23201.0,,29822.0,18149.0,,30256.0,17979.0,23920.0,21059.0,38656.0,83921.0,52623.0,40622.0,96875.0,75709.0,40762.57142857143,42,39929.32190796683
Vidya Vikas Institute of Engineering and Technology  Mysuru,CS Computers,21963.0,,,25253.0,,29491.0,25027.0,,55908.0,22658.0,,29246.0,20662.0,,31244.0,20088.0,30677.0,24525.0,44882.0,46792.0,51340.0,56301.0,108836.0,,37934.882352941175,42,36921.809848518365
Basaveshwara Engineering College  Bagalkot,CS Computers,21979.0,28198.0,29488.0,18918.0,,25998.0,22827.0,,26564.0,18828.0,,,17755.0,,28975.0,17382.0,17752.0,18432.0,34472.0,58303.0,45956.0,46564.0,56426.0,86206.0,32685.42105263158,42,35136.99300641309
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IC CS-IoT, CyberSecurity",22041.0,70313.0,36438.0,19690.0,,37410.0,26461.0,,,18390.0,,,17293.0,33566.0,,16915.0,,22507.0,72498.0,,87424.0,31776.0,,,36623.0,77,38371.32916457812
KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum,EC Electronics,22137.0,,52343.0,23395.0,,24207.0,23222.0,,29538.0,22187.0,,,20669.0,,24187.0,20231.0,21317.0,23443.0,66820.0,71763.0,83240.0,36098.0,,115765.0,40033.05882352941,67,39668.38041232768
K L E Institute of Technology  Hubli,EC Electronics,22162.0,,39813.0,24771.0,30895.0,30930.0,23514.0,45220.0,39249.0,26374.0,,32940.0,23214.0,,30957.0,22119.0,29047.0,29546.0,62505.0,97606.0,85905.0,32534.0,,122509.0,42590.5,67,40688.315613566025
Vidya Vardhaka College of Engineering  Mysuru,EC Electronics,22269.0,,27835.0,22151.0,30309.0,24821.0,23315.0,71956.0,46333.0,17774.0,,,19697.0,,23150.0,17387.0,25372.0,21200.0,43628.0,83604.0,56226.0,22095.0,,74913.0,35475.52631578947,67,37503.88790458773
Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,"EL Electronics,Instr. Tech.",22276.0,,,26499.0,39984.0,55677.0,35903.0,,176299.0,20454.0,,52013.0,24879.0,120270.0,97607.0,18603.0,36634.0,36866.0,77962.0,106330.0,87546.0,32725.0,,120735.0,62592.73684210526,70,52930.30586558307
Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,AI ArtificialIntelligence,22343.0,,37061.0,15788.0,,26150.0,17134.0,,,18218.0,,26290.0,14091.0,24562.0,,14046.0,18780.0,15577.0,42642.0,,112736.0,50202.0,,,30374.666666666668,2,33824.4976568613
Dayananda Sagar College of Engineering  Bangalore,EE Electrical,22396.0,,38052.0,21839.0,,27193.0,24133.0,,46683.0,16971.0,,,21189.0,40626.0,30314.0,15496.0,26515.0,20413.0,40750.0,103174.0,46548.0,27422.0,54583.0,76281.0,36872.52631578947,68,38869.772374143984
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT Bio Technology,22621.0,,115131.0,17929.0,,26821.0,50933.0,,,18983.0,,,17288.0,,,14276.0,37400.0,26447.0,39024.0,,73653.0,34525.0,,,38079.307692307695,20,41254.61215692971
Sahyadri College of Engg. and Management  Mangalore,"CA CS (AI, MachineLearning)",22627.0,,,26815.0,29440.0,30892.0,23105.0,,,23301.0,,,21945.0,,25948.0,21890.0,24255.0,25365.0,120416.0,196608.0,122429.0,47031.0,,56925.0,51187.0,27,46611.19310791581
"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",DS Comp. Sc. Engg-Data Sc.,22720.0,,,20707.0,25355.0,27154.0,,,,,,16903.0,16222.0,,,16108.0,25226.0,16627.0,60319.0,,,65746.0,,,28462.454545454544,64,31993.867581962437
